StateAbbr,PlaceName,PlaceFIPS,Binge rate,Cancer rate,Diabetes rate,Mental health rate,Obesity rate,Sleep rate
TN,Knoxville,4740000,14.7,6.1,10.7,16.1,32.1,37.4
TN,Memphis,4748000,12.1,5.6,14.3,15.8,38.4,41.1
TN,Murfreesboro,4751560,16.4,5,8.4,13.5,33.2,37.7
TN,Nashville,4752006,15.4,5.7,10.5,13.8,31.1,39.4
TX,Abilene,4801000,19.5,5.9,10.9,14.4,33.1,33.9
TX,Allen,4801924,19.7,5,7.6,10.2,28.6,31.8
TX,Amarillo,4803000,18,6.3,11.6,14.4,35.1,34.2
TX,Arlington,4804000,17.6,5,10.4,13.3,34.2,36.3
TX,Austin,4805000,24,4.4,7.7,11.6,25.7,29.1
TX,Baytown,4806128,19.5,5.6,11.9,14.3,34.4,35.1
TX,Beaumont,4807000,16.5,5.9,13.9,14.5,38.3,38.1
TX,Brownsville,4810768,15.5,4.8,17.4,14.9,41,35
TX,Bryan,4810912,17.1,4.9,10.5,14.6,32.6,36.8
TX,Carrollton,4813024,18.9,5.2,10,12,30,31.3
TX,College Station,4815976,20.5,2.9,4.8,12.4,24.6,34.2
TX,Corpus Christi,4817000,18.8,5.6,13.9,13.4,34.6,34.1
TX,Dallas,4819000,17.8,4.9,12,14.1,34.8,34.3
TX,Denton,4819972,21.4,4.7,7.9,13.4,30.5,31.3
TX,Edinburg,4822660,17.5,3.9,13.4,13.6,41.6,32.8
TX,El Paso,4824000,16.7,4.9,14.9,13.2,35.3,36.9
TX,Fort Worth,4827000,17.8,4.9,11.3,13.9,35.7,36.6
TX,Frisco,4827684,21.4,4.8,6.8,9.8,28.1,29.9
TX,Garland,4829000,17.2,5.3,11.8,13.9,32.3,33.7
TX,Grand Prairie,4830464,18.3,4.6,10.7,13.2,33.3,34.5
TX,Houston,4835000,19.1,4.9,12,13.4,34.1,35.5
TX,Irving,4837000,18.5,4.3,9.8,12.8,30.1,32.8
TX,Killeen,4839148,20.6,3.9,9.7,13.9,37.2,39.2
TX,Laredo,4841464,16.3,4.2,15.7,15.1,42.1,35
TX,League City,4841980,23.6,5.3,8,11.2,31.4,33.7
TX,Lewisville,4842508,21.7,4.6,8.5,12.5,31.2,31.3
TX,Longview,4843888,17,6.5,12.5,15.1,36.1,35.7
TX,Lubbock,4845000,19.1,5.3,10.2,14.1,33.4,35.6
TX,McAllen,4845384,16,5,15.5,13.3,41.5,32.5
TX,McKinney,4845744,20.2,5.2,8.1,11.3,30.9,32.4
TX,Mesquite,4847892,18,5.3,11.2,14.4,33.8,34.1
TX,Midland,4848072,19.8,6,10.4,12.5,32.7,32.7
TX,Mission,4848768,16.2,5.2,15.1,13.7,41.4,32.6
TX,Missouri City,4848804,16.1,5.4,11.7,10.5,31.3,34.8
TX,Odessa,4853388,18.5,5.6,11.8,13.7,35.1,32.9
TX,Pasadena,4856000,19.8,5,11.7,14.4,34.2,34.2
TX,Pearland,4856348,18.8,5.2,8.6,10.4,30,31.3
TX,Pharr,4857200,15.5,4.7,16.5,15.4,44.4,34.3
TX,Plano,4858016,18.2,5.6,8.6,9.9,27.6,31.9
TX,Richardson,4861796,18.1,6.1,9.1,10.7,26.4,30.9
TX,Round Rock,4863500,20.9,4.6,8.4,11.8,30.5,33
TX,San Angelo,4864472,19,6.1,11.3,13.4,34.3,34.9
TX,San Antonio,4865000,19,5.3,13.1,13.6,34.5,35
TX,Sugar Land,4870808,15.8,5.8,10.4,9,23.7,31.8
TX,Tyler,4874144,16.6,6.5,12.4,14.4,34.7,36
TX,Waco,4876000,17.1,5.4,12.1,15.8,36.7,35.7
TX,Wichita Falls,4879000,18,5.9,11.7,14.5,37.5,38.9
UT,Layton,4943660,11.5,5.3,7.5,11.9,27.5,30.8
UT,Ogden,4955980,11.7,5.3,9,15.1,33.8,34.2
UT,Orem,4957300,7.8,5.1,6.5,11.7,25.4,30.7
UT,Provo,4962470,7.9,3.4,4.6,12.6,24.6,31.4
UT,St. George,4965330,9.7,7.9,9.2,13,25,32.4
UT,Salt Lake City,4967000,15,5.2,7.2,11.9,26.1,30.3
UT,Sandy,4967440,15.4,6.1,6.9,10.9,24.8,28.9
UT,West Jordan,4982950,16.6,4.6,6.2,12.1,26.5,30.4
UT,West Valley City,4983470,14.3,4.8,8.6,13.9,29.4,32.8
VT,Burlington,5010675,20.8,4.7,5.5,13.7,23.5,29.6
VA,Alexandria,5101000,19.7,5.2,7.6,10.6,27.7,30.9
VA,Chesapeake,5116000,17.1,6.2,10.7,12.6,35.6,37.8
VA,Hampton,5135000,16.4,6,13,13.5,38.6,43.3
VA,Lynchburg,5147672,16.7,6.1,10.7,14.6,34.2,38
VA,Newport News,5156000,18.2,5.6,11.4,13.7,34.9,38.2
VA,Norfolk,5157000,19.4,5,10.9,13.8,33.5,41.7
VA,Portsmouth,5164000,15.2,6.3,13.4,14.2,39,45.2
VA,Richmond,5167000,19.3,5.3,12.2,14.3,33.6,39.4
VA,Roanoke,5168000,15.9,6.9,12.5,15.3,36.3,39.8
VA,Suffolk,5176432,16.1,6.3,11.9,13.1,34.3,41.2
VA,Virginia Beach,5182000,19.6,6,8.8,11.7,28.4,37.3
WA,Auburn,5303180,17.5,6,8.3,14.5,25.3,32.5
WA,Bellevue,5305210,16.1,6.5,6.8,9.6,18,28.5
WA,Bellingham,5305280,20.4,5.9,7.4,13.7,29.1,31.1
WA,Everett,5322640,18,5.9,8.9,14.1,31.3,37.3
WA,Federal Way,5323515,16.5,5.8,8.7,13.7,24.2,32.6
WA,Kennewick,5335275,17,6.3,9,15,33.4,33.8
WA,Kent,5335415,16.6,5.4,8.6,14.5,25.1,33.1
